Protocol,Source IP,Destination IP,Source MAC,Destination MAC,Packets,Time,label
DNS,71.30.212.225,72.160.45.2,63:77:F9:CA:1D:67,13:19:80:91:3F:BD,47,93.34796803551176,0
ARP,18.38.237.243,197.121.24.17,54:53:BD:43:5F:C3,54:53:BD:43:5F:C3,196,49.19348960847971,1
ARP,185.115.93.232,98.81.98.81,7B:2B:33:D2:7D:04,2A:12:2C:20:AF:9E,182,29.586158404624598,1
ICMP,226.111.90.190,216.122.143.0,21:59:BF:09:22:CD,1A:3F:DF:A7:19:4A,17,91.08910250929371,0
ICMP,124.222.175.170,213.114.167.115,D8:5E:AC:59:3A:1A,F2:32:AB:64:F5:9C,25,74.38995350243015,0
DNS,7.110.35.30,59.156.132.169,B8:0E:10:C8:60:30,0A:16:DC:EC:F4:B3,48,57.26279319101557,0
HTTP,27.39.31.191,170.69.70.185,24:03:2B:6B:84:70,DD:D9:51:E5:E9:AC,42,41.112876469348535,0
ARP,148.171.218.18,171.220.87.209,67:BE:45:30:54:DC,67:BE:45:30:54:DC,111,97.4767334086333,1
ARP,161.80.48.128,231.66.24.144,B5:93:27:41:41:B0,0B:50:10:94:B0:06,197,7.642518592873726,1
DNS,79.152.8.168,112.15.164.76,D8:AE:A7:9B:7D:96,5B:22:39:48:98:ED,32,4.314159169026121,0
ARP,197.124.4.85,163.187.241.113,56:79:44:B6:9C:1C,36:D7:60:0C:93:EA,108,36.86651690204996,1
ARP,26.108.49.248,172.191.118.126,86:1D:D9:AD:76:74,CC:94:B5:4B:CC:46,75,88.45916564202517,1
ARP,179.25.121.247,107.184.51.26,83:85:16:1C:AC:32,B4:BB:C0:02:BE:52,198,2.4033149950074217,1
ARP,209.142.94.104,172.114.27.132,31:83:94:7A:52:22,F3:1B:B5:15:B0:99,50,22.112257308126026,1
ICMP,80.142.83.207,121.84.183.43,22:05:FC:7D:7D:1A,EB:FD:E0:F1:1C:37,45,71.71274770212295,0
ICMP,41.18.51.6,19.250.118.211,E2:C0:18:EC:D2:A0,87:FC:DD:AE:2C:41,7,63.84200694888644,0
ARP,187.207.159.236,0.182.131.121,FF:AA:A0:12:C0:F8,FF:AA:A0:12:C0:F8,62,36.22093171995977,1
ARP,21.35.19.206,122.52.122.214,3D:83:EE:BA:80:20,3D:83:EE:BA:80:20,139,60.1521042324926,1
ARP,164.163.237.109,17.193.170.67,DF:A9:E9:FB:2D:79,DF:A9:E9:FB:2D:79,87,87.4628081258503,1
ARP,72.67.218.51,90.70.215.39,CB:B0:E0:95:3C:8F,CB:B0:E0:95:3C:8F,76,91.67291956025201,1
ARP,242.133.234.215,48.39.146.243,70:BD:D3:12:CF:4D,D9:A7:28:E4:0B:A5,170,80.01949486985579,1
ARP,109.47.128.178,25.71.249.114,96:F9:BB:1F:93:FE,87:40:3D:74:82:D5,191,0.03543328919163313,1
HTTP,187.196.183.112,92.51.172.128,09:B6:F6:6B:46:3A,D1:C3:F1:55:2D:84,23,99.51425953325594,0
ARP,102.253.38.139,176.68.76.60,33:01:0F:7E:23:8D,DF:BC:3B:F0:38:11,63,77.92835239531459,1
ARP,118.229.107.83,55.221.182.31,EF:99:31:52:F9:9C,EF:99:31:52:F9:9C,180,76.48633174611231,1
ARP,153.110.16.154,220.5.134.161,46:68:5A:A9:2C:A2,1E:A0:4C:38:4C:83,199,85.68517268409984,1
ARP,212.17.112.35,152.76.194.54,79:81:10:80:0A:B5,7B:A9:F8:30:BB:21,178,85.56763956747697,1
DNS,164.103.173.222,168.104.15.222,48:AA:87:FF:90:12,D1:1F:9F:A9:30:93,49,50.801223167856726,0
DNS,171.56.219.249,215.12.34.92,F3:9E:DB:89:D7:CE,D4:2C:63:A0:9F:A3,49,56.02247505985868,0
ARP,247.182.170.3,97.84.173.62,92:8E:CA:6C:B0:40,9E:0F:8E:4A:F1:9C,149,13.525943482690895,1
ARP,10.147.90.35,254.6.221.186,60:4C:A4:98:8C:2D,E2:35:D4:B9:7F:5A,174,84.17351024501781,1
ARP,31.242.84.94,218.30.42.34,79:DF:C4:9A:E1:E9,79:DF:C4:9A:E1:E9,69,77.07963754480465,1
ICMP,13.202.247.89,156.174.43.165,F6:F0:13:36:F3:B8,E5:05:58:85:8B:59,32,15.131002505365675,0
ARP,178.71.247.42,81.225.240.7,69:1C:AE:FD:05:16,69:1C:AE:FD:05:16,152,11.296809182256684,1
DNS,15.201.163.58,167.69.4.187,DD:11:74:61:D9:B2,20:8B:7A:0A:9B:DF,32,42.1612093438236,0
ARP,117.32.230.173,60.114.215.230,55:55:B9:8F:28:D5,55:55:B9:8F:28:D5,190,44.54379591204698,1
ARP,43.41.24.151,137.74.229.138,9D:C6:C3:8B:7A:9D,28:72:74:E8:DF:AE,120,32.05477488982649,1
ARP,54.79.180.253,245.115.170.145,77:82:2D:BD:D6:27,84:D5:4F:98:0F:5E,174,46.268445773754316,1
ARP,116.4.135.156,130.189.46.219,EF:29:D7:F9:63:1F,EF:29:D7:F9:63:1F,58,84.57168533159759,1
ICMP,155.171.95.54,108.96.81.123,48:F6:95:F1:09:C8,1C:08:35:7A:9F:93,32,53.809326596679554,0
ARP,62.47.209.203,17.80.224.206,F8:E5:A0:86:AD:13,F8:E5:A0:86:AD:13,111,65.20812849222975,1
HTTP,141.211.20.208,143.115.219.16,D3:6E:F4:1E:94:6A,3F:2C:F9:D0:9A:2C,3,92.04244757923317,0
ARP,8.87.50.189,129.190.128.9,53:24:CB:DA:F4:11,BD:97:9C:67:24:AD,113,62.35113663686119,1
ARP,123.47.19.129,8.100.53.14,40:00:EA:7F:B4:A9,32:9E:A1:AF:C9:A6,162,25.86506987436833,1
ARP,137.196.16.213,116.251.249.140,E9:ED:D2:FF:DC:B1,43:D9:DF:60:DE:23,59,73.80907517280397,1
ICMP,142.186.12.203,82.4.102.201,38:3A:CD:ED:F7:5D,70:3D:5A:0E:28:AD,1,43.22797412639233,0
ARP,30.41.251.164,7.129.66.216,09:14:E1:28:20:E3,09:14:E1:28:20:E3,190,13.42775411420104,1
ARP,1.27.213.89,126.33.89.114,88:E0:B8:EF:1D:B2,88:E0:B8:EF:1D:B2,54,43.400801887490225,1
ARP,33.92.224.111,221.193.84.38,06:5A:F8:63:B5:5B,06:5A:F8:63:B5:5B,112,18.458797835265738,1
DNS,175.166.162.160,248.113.82.107,9C:36:6E:2B:63:24,8E:C3:FE:B8:DE:13,21,31.927827362493943,0
ARP,116.174.112.216,141.129.142.26,13:2F:44:02:1B:C7,94:C5:7D:63:90:CA,150,80.31475651788294,1
DNS,124.237.90.139,173.98.5.215,A6:85:58:8A:7A:62,BB:00:32:63:3F:23,16,29.228783715923623,0
ICMP,218.58.18.252,147.204.119.141,46:B1:6A:BD:11:2D,C1:5A:09:84:BD:28,22,67.15697820946652,0
ARP,145.26.224.168,65.247.223.81,76:4C:4D:5C:16:77,8D:D8:F5:C1:68:2B,198,5.792241916009999,1
ARP,74.139.144.247,148.92.174.82,42:89:51:C2:6E:AF,56:1A:D7:DA:EE:51,199,60.71778848894102,1
HTTP,244.148.215.213,98.126.92.155,7D:C0:9D:EB:17:6A,56:6D:6E:7B:DA:2A,32,6.954974714358952,0
HTTP,52.54.18.219,109.240.184.248,80:70:16:43:84:27,31:16:CA:3B:58:18,5,97.32092808463516,0
ICMP,14.155.198.125,23.229.28.4,49:60:5E:7B:29:63,DD:40:4E:24:F0:CB,43,91.19576970679421,0
ARP,226.70.21.204,35.169.35.144,CF:2E:F2:73:B7:54,CF:2E:F2:73:B7:54,88,80.86906400321095,1
ARP,176.172.191.1,9.21.144.124,AD:36:42:A5:68:90,84:FA:FC:97:2B:B2,147,48.13962014651643,1
ARP,45.145.118.137,76.19.211.221,97:E8:C1:44:CA:69,97:E8:C1:44:CA:69,62,93.34361287232296,1
ARP,98.97.57.117,31.236.139.134,B8:33:DD:08:9F:09,CA:45:5F:37:6B:CB,114,1.0996635348207051,1
DNS,184.66.129.66,76.222.170.64,D2:15:48:09:2B:88,C7:37:BD:12:52:91,4,86.03831774474463,0
DNS,203.96.149.5,29.1.93.86,46:49:A1:B5:13:AB,7F:E1:29:31:EF:42,43,43.0817001139427,0
HTTP,122.42.114.213,251.155.33.111,85:AE:3F:70:BB:39,E0:14:33:92:9C:11,20,32.66678829196608,0
ARP,108.243.178.231,171.223.189.171,27:B9:B9:06:BC:27,70:0F:76:2D:8B:D2,51,49.28315355836279,1
DNS,125.6.208.5,138.46.134.246,E2:12:75:A6:D5:1B,16:65:12:DE:09:CF,9,19.974651994913284,0
ARP,120.21.171.247,83.170.110.92,53:24:3F:6B:A6:25,A2:51:76:1D:40:B5,165,92.63897631093421,1
ARP,11.176.5.49,114.51.69.11,6B:32:9C:63:A9:42,6B:32:9C:63:A9:42,163,58.32291108999931,1
ARP,97.32.86.234,225.132.178.133,28:65:BB:7D:F0:7C,28:65:BB:7D:F0:7C,148,0.6100784574308404,1
ARP,69.158.97.47,92.98.226.141,9E:62:CC:EA:09:E4,9E:62:CC:EA:09:E4,103,0.3136094275639656,1
DNS,217.252.56.128,227.3.35.60,C3:01:9D:E1:DF:D6,83:54:29:24:33:61,22,54.654773469404205,0
DNS,221.156.51.85,83.27.174.86,74:C0:24:F1:1D:20,2F:16:B1:57:B3:2C,38,56.23300398346834,0
DNS,172.156.1.111,59.135.207.219,20:84:74:C6:35:22,E9:28:27:83:CB:1E,35,60.681019959095615,0
ARP,241.237.42.177,38.201.111.8,B1:51:2E:23:46:EB,60:FC:B2:06:7E:28,75,66.91363756618283,1
DNS,99.228.29.93,14.28.236.185,48:C6:05:9D:42:94,EE:58:E4:90:E0:90,38,91.28886625241802,0
ARP,88.113.172.192,153.49.171.166,0E:4B:9B:11:BC:89,71:A3:DE:AB:14:3B,76,6.4339994459301275,1
ARP,140.126.186.247,234.97.217.40,6F:CF:27:B3:4D:DE,6F:CF:27:B3:4D:DE,112,7.524239888655226,1
HTTP,41.214.138.39,73.38.251.114,A1:EA:EF:48:86:65,95:E2:17:1E:F5:50,6,37.559134110661084,0
ARP,191.214.167.230,208.189.130.63,1C:A6:3E:C3:54:48,BC:A3:66:69:EE:A5,62,75.53568865540795,1
ARP,236.255.234.240,186.116.57.94,40:01:D4:C1:80:4D,40:01:D4:C1:80:4D,61,22.620332416013976,1
ARP,216.147.238.59,159.83.228.24,43:07:24:2E:05:85,D9:B0:96:04:6E:4B,123,63.55838300331099,1
ARP,225.141.58.73,220.177.112.70,FA:E7:DB:A2:DE:78,FA:E7:DB:A2:DE:78,74,83.63790691417236,1
ARP,103.146.25.79,165.194.87.114,9A:DF:4E:B9:4B:35,9A:DF:4E:B9:4B:35,68,75.80503887282278,1
ICMP,122.222.115.27,217.31.12.226,AC:8C:67:93:AF:6E,37:88:A1:2D:47:88,8,66.84001923708026,0
ARP,109.57.11.118,153.78.45.94,39:DB:7A:14:9A:EB,39:DB:7A:14:9A:EB,63,89.01511860871013,1
DNS,140.133.148.134,48.94.187.111,76:43:49:45:0B:F1,7A:4C:10:39:4D:CF,36,9.658284299867347,0
ICMP,227.7.230.139,29.163.149.125,F0:67:5D:BA:45:FF,16:C2:43:FB:65:44,49,88.44735765610822,0
ARP,217.213.85.68,126.237.128.60,69:88:FF:78:D3:25,69:88:FF:78:D3:25,154,45.60641325587733,1
DNS,254.89.168.177,89.117.171.112,0A:07:4C:35:E6:2A,E4:44:9F:5E:F3:01,15,32.26791415924387,0
HTTP,103.116.18.22,30.76.153.253,C9:5E:5A:01:40:5E,BE:AE:F6:4F:BB:F0,40,52.665242255370515,0
ARP,169.222.112.128,210.99.226.107,12:8D:C9:9B:F3:9C,12:8D:C9:9B:F3:9C,100,59.425855959666265,1
ARP,187.36.169.140,180.245.109.208,89:AA:49:55:36:BC,89:AA:49:55:36:BC,58,25.346220403311825,1
ARP,118.110.32.3,231.171.233.227,2C:23:9B:0D:17:6C,9D:AC:3B:36:7D:CD,153,8.958816925620205,1
HTTP,61.193.41.239,6.68.92.160,20:98:20:8C:2D:BE,AC:A1:B1:E2:7D:C3,39,95.19392474557446,0
ARP,87.169.245.161,100.181.118.246,68:AB:DB:65:DF:A4,61:A2:64:DD:DC:FD,145,41.19193653618301,1
ICMP,105.113.160.68,40.104.90.2,ED:D6:D3:68:FA:30,FE:67:1B:04:52:95,34,23.575780209526965,0
DNS,209.229.228.83,220.172.57.217,5C:EB:FD:E7:DF:DF,EC:BC:AE:A2:09:32,50,27.991156923704718,0
ARP,98.35.195.140,42.101.126.62,AD:A1:E5:30:88:43,AD:A1:E5:30:88:43,68,51.8528956123709,1
ARP,115.132.66.21,75.199.53.70,0D:D4:33:D6:46:40,E2:F9:CB:11:2A:A7,98,53.41363528656876,1
ARP,2.68.146.220,72.87.158.169,43:6E:25:8A:3E:E9,43:6E:25:8A:3E:E9,69,25.50150556658336,1
DNS,71.250.223.22,220.214.5.115,6D:9A:B7:8D:74:7C,FC:67:B8:90:6F:02,39,30.211666810296133,0
ARP,250.106.222.79,90.197.37.144,3E:BF:99:62:D2:7E,3E:BF:99:62:D2:7E,180,79.5472030620667,1
DNS,62.72.158.107,157.117.191.4,8A:38:E5:94:A2:47,18:04:1E:79:59:6C,41,12.463341819040775,0
ICMP,213.247.169.187,162.97.167.181,3D:66:F8:8F:01:56,34:83:5C:28:92:E0,16,63.12358046702242,0
HTTP,130.208.105.183,177.153.100.102,52:77:5D:1C:A5:FD,1B:45:40:D0:82:BF,1,22.987482696137562,0
HTTP,179.124.238.225,219.86.188.143,B8:1E:DE:D4:7D:12,BC:AA:AC:A8:DE:C0,47,96.99923314742135,0
DNS,92.167.49.64,114.82.34.54,BE:15:F3:C4:13:B0,52:25:99:4D:2C:49,2,36.88104335266136,0
HTTP,127.52.208.208,240.236.45.118,92:56:CB:DD:6A:4A,CC:0F:2B:20:5F:17,46,48.197919818095095,0
HTTP,28.11.39.136,240.186.234.141,64:36:52:D5:2D:35,EA:3E:2A:13:A6:AE,16,87.84112476894876,0
DNS,139.229.167.123,26.171.66.177,A5:1F:9B:41:1E:37,76:D5:0A:F5:53:CE,48,3.1577920955779715,0
DNS,112.6.17.126,86.131.97.66,31:07:03:CD:5D:C3,33:F7:9B:2C:4F:2E,46,63.20868929445377,0
DNS,125.88.122.250,203.48.185.59,EC:59:DA:38:E7:1D,FB:BA:9D:C5:6D:03,11,98.69970191126774,0
ARP,185.40.154.26,101.141.193.36,A1:40:F2:3F:E3:73,A1:40:F2:3F:E3:73,131,48.75580976182686,1
ARP,218.44.165.236,143.26.102.132,ED:D1:3A:25:AD:14,59:89:60:5C:C7:AD,171,68.99747837438215,1
DNS,31.28.66.206,35.117.244.122,DC:0A:B5:BA:4A:A9,9A:7C:27:17:03:2B,47,56.185616613289405,0
ARP,214.15.23.40,133.130.87.106,42:21:B2:D3:24:C4,42:21:B2:D3:24:C4,72,38.339924885767786,1
ICMP,172.137.31.128,68.163.36.84,A3:9D:75:C1:FC:5B,6B:95:D6:15:1F:A3,12,80.15749837396253,0
ARP,162.120.168.94,235.58.251.119,92:9D:62:0C:33:DA,92:9D:62:0C:33:DA,121,78.3828596393692,1
ARP,76.110.131.77,77.90.140.111,15:D8:F2:EC:8D:99,6F:4E:96:7D:5A:C5,126,88.13079375283233,1
HTTP,168.114.194.164,127.7.42.225,C6:B0:C6:E5:8F:FA,BF:A3:11:BC:BD:85,48,60.0078866838193,0
HTTP,197.169.192.27,124.98.241.221,DF:DD:64:86:F4:FB,70:43:83:CA:B5:A2,12,65.64143726789837,0
ARP,1.13.61.180,161.50.41.74,9A:A0:02:63:4B:8F,8B:F5:4D:3D:81:B4,175,95.49023408244139,1
ARP,210.166.251.142,251.22.138.70,D1:68:C6:74:F3:ED,D1:68:C6:74:F3:ED,108,24.20427033652459,1
ARP,120.236.123.245,45.55.190.128,1A:0F:50:70:40:78,1A:0F:50:70:40:78,150,85.7758273548006,1
ARP,98.58.157.55,68.219.49.11,CE:A4:26:AB:AC:06,CE:A4:26:AB:AC:06,200,83.29669909181399,1
ARP,129.133.43.78,227.188.61.118,E1:C3:DB:8A:9B:79,2E:0D:F0:8E:5F:09,173,37.749489641758124,1
DNS,195.229.89.67,224.117.53.248,89:49:8A:5C:F9:29,AF:86:50:5E:81:AF,1,72.95538343781752,0
HTTP,254.12.98.190,246.177.121.29,4C:34:F8:4C:7C:49,8B:4B:AC:A0:1D:13,6,25.781944606676845,0
HTTP,167.33.116.189,138.224.168.137,28:38:2D:F1:EB:A0,50:53:42:CD:7B:31,38,98.81944332945618,0
ARP,24.1.173.201,205.57.130.182,BA:B1:F5:CF:D9:F1,BA:B1:F5:CF:D9:F1,79,86.05306135232553,1
ARP,43.190.115.143,195.59.249.238,18:25:ED:C3:0E:72,3E:0F:9A:EF:65:B6,128,83.65315420261396,1
ARP,241.144.237.196,79.243.23.83,38:82:6F:E0:F7:96,38:82:6F:E0:F7:96,118,19.636418763167452,1
DNS,206.151.199.120,165.52.114.195,E6:4C:A7:59:96:9D,CB:E0:D6:4A:60:84,14,1.1239819510999505,0
ICMP,178.183.131.189,75.255.29.156,CB:96:F4:25:6B:BF,19:75:88:99:F2:84,44,80.47225994136124,0
HTTP,172.220.102.242,163.227.70.145,D8:71:BF:CC:2E:53,22:CF:A0:0D:F8:2A,48,62.18537822353648,0
ICMP,47.42.92.105,39.35.112.215,80:AA:BE:44:1D:C1,97:4D:C4:B5:C0:C7,18,91.28586986653684,0
HTTP,52.73.15.226,113.253.160.125,4A:72:86:76:3C:19,EF:D4:ED:F6:60:53,43,50.03385971000637,0
ARP,79.107.138.108,193.136.39.54,37:97:35:A7:D1:87,1F:92:DF:5B:3D:C1,79,65.12160318896841,1
ARP,213.85.103.86,170.152.223.11,13:B6:0C:1A:B3:F3,68:18:C1:71:B3:96,123,37.83467653220789,1
HTTP,90.166.104.86,221.125.81.70,EB:39:A8:06:7A:D7,3B:BB:07:F0:87:B3,16,22.06697330816666,0
HTTP,254.68.21.47,50.209.12.101,4E:84:3D:A4:0B:61,23:D9:35:DE:65:DA,37,18.437032672914366,0
ARP,231.12.178.28,171.212.18.57,60:C9:5F:59:68:41,BD:9A:74:FC:06:05,56,7.632663162265496,1
DNS,202.103.108.119,22.61.129.251,6F:F5:4E:72:B8:CD,B1:A9:1D:AD:42:E1,46,54.815757245014716,0
HTTP,96.165.153.175,200.90.128.229,4C:A3:8A:C4:CB:69,E0:20:69:CB:57:30,50,14.311860023340694,0
ARP,80.120.149.126,46.88.127.110,5E:8E:DC:EC:E9:84,5E:8E:DC:EC:E9:84,107,79.39402068231809,1
DNS,98.218.124.60,89.31.166.125,82:F2:C7:87:53:FC,74:90:99:1E:05:D9,17,86.81379789935289,0
ARP,153.155.127.231,20.44.96.84,2A:BB:CE:87:E1:90,1F:6F:0D:68:5B:87,183,16.373051287380402,1
DNS,181.20.225.108,206.60.234.58,B1:24:38:5F:B9:2C,8E:B8:48:7D:29:A3,22,62.97164666262154,0
DNS,225.89.184.85,130.226.190.249,C9:1B:DD:6B:56:7B,BF:01:77:FD:62:5F,7,93.13562824000019,0
HTTP,153.96.175.118,114.155.243.133,36:FA:5C:A2:34:08,5B:CA:82:4D:A0:A9,2,77.62547132173634,0
ARP,138.231.34.21,214.125.188.21,E9:4A:69:F2:98:A5,FA:AF:38:CB:8C:22,158,15.729793671361325,1
ICMP,62.212.53.199,5.69.98.25,C0:B6:FE:CC:77:49,D5:A8:82:5A:1F:BE,44,72.65771992520507,0
DNS,194.83.87.158,161.166.183.86,20:35:9B:2D:4A:7C,0E:63:73:66:2B:55,18,76.78838194125794,0
ICMP,34.131.25.196,54.63.46.163,4A:5D:D9:EB:D1:BB,DE:82:35:3A:08:85,32,91.12657079502908,0
DNS,2.252.18.79,74.171.186.109,7C:52:C1:B6:98:61,3E:4D:C1:A5:2E:51,17,87.66298796980597,0
ARP,22.152.103.247,137.65.248.247,59:82:1B:1A:0C:E2,59:82:1B:1A:0C:E2,67,78.10192805477288,1
ARP,245.234.183.203,248.218.35.22,75:2E:EE:11:D1:1A,BA:D0:03:D0:52:8C,103,83.59648375682883,1
HTTP,66.31.180.157,21.8.185.142,60:1C:42:8E:A0:A8,61:1F:A7:70:43:55,38,49.14636434295212,0
HTTP,150.84.113.61,147.147.175.63,2F:E0:2E:05:8C:5F,FF:F3:25:BF:E3:FF,21,16.616681414840695,0
HTTP,72.28.204.193,129.79.182.176,F0:74:CA:F8:B2:E8,B9:4B:3D:43:29:9B,6,53.0951570749314,0
ARP,239.124.124.113,72.15.235.160,32:40:F9:6D:2E:0C,32:40:F9:6D:2E:0C,160,28.822411492079258,1
ARP,253.6.104.44,232.235.200.105,7D:6D:C5:8C:6F:7A,7D:6D:C5:8C:6F:7A,144,74.94372998307304,1
ARP,6.18.164.12,92.131.154.149,A8:5C:DD:F5:8F:38,A8:5C:DD:F5:8F:38,63,45.558339639155555,1
ICMP,161.57.104.157,124.166.205.93,4B:14:5F:E9:9B:E9,E2:01:C7:C5:06:25,8,58.3479714236932,0
ARP,158.40.191.9,2.98.118.135,19:65:B4:EC:06:AB,43:6F:6D:CA:FF:ED,176,86.11711873887319,1
HTTP,82.43.255.68,30.4.16.227,FA:DA:87:4A:66:57,6C:BC:66:BB:48:0F,35,81.17909227803054,0
ARP,66.38.184.229,160.170.254.140,F4:65:E6:B4:20:88,F4:65:E6:B4:20:88,123,78.34406000974249,1
ARP,142.236.40.6,168.8.234.96,10:5E:74:24:D6:E1,10:5E:74:24:D6:E1,101,19.726857293161938,1
ARP,92.134.94.81,80.47.27.155,63:68:45:3C:DE:2C,5E:0A:DF:DF:5F:AE,54,34.53391214050934,1
HTTP,188.59.71.210,41.230.223.63,7C:0F:D9:F4:A8:94,D6:04:6E:8A:17:17,21,88.31933663727901,0
ARP,167.221.184.22,220.77.162.94,5E:1D:BA:69:E7:90,3E:59:DE:AA:D7:41,126,68.22784796510724,1
DNS,240.84.215.16,229.100.90.26,65:78:12:67:62:A4,08:5D:B1:78:75:80,19,13.78631510602235,0
HTTP,169.29.149.45,133.23.248.32,6C:71:DB:68:40:D8,C5:45:DC:9B:9C:A2,7,86.09230958852794,0
ARP,230.19.37.218,31.139.233.208,65:E6:99:69:EC:C9,83:6E:1A:B9:4C:5C,86,89.05778389044984,1
DNS,49.174.238.25,85.186.12.146,09:7A:B6:A4:B6:6A,A2:9F:69:70:78:F2,40,76.01823783980406,0
ICMP,82.34.160.141,107.238.165.225,EB:78:DF:A0:69:18,2D:EF:05:5A:D3:06,40,36.19433993320188,0
HTTP,200.218.96.35,65.47.83.221,34:9E:88:A2:A3:87,C2:01:00:77:82:BF,41,55.55915500002657,0
ARP,243.234.126.11,67.245.76.31,54:5C:4B:6B:4E:76,84:19:BC:EC:13:5A,68,5.7360624898159855,1
HTTP,199.50.176.202,205.26.40.76,3B:5E:18:FD:96:17,25:2B:83:71:C0:AA,16,25.717052404217032,0
ARP,124.206.199.29,190.56.50.0,B7:CB:A1:E4:6D:7B,B3:B0:5F:0A:0F:21,174,4.363240362757004,1
DNS,90.177.64.135,34.171.125.132,BD:A3:7B:49:26:80,59:40:C9:8C:34:A0,27,33.141847630113276,0
ICMP,166.18.138.175,12.26.211.197,67:8B:39:C5:2F:C8,46:E2:7D:DB:F5:3C,8,12.44961185244967,0
DNS,203.123.18.20,39.43.19.85,C6:88:FE:BB:76:48,06:8A:3C:76:47:C2,14,79.86849726529647,0
ARP,54.126.32.166,113.123.107.178,80:4E:42:DD:0B:79,80:4E:42:DD:0B:79,58,39.80623638011998,1
ARP,63.225.181.98,219.148.85.141,19:F5:33:B5:FF:31,19:F5:33:B5:FF:31,95,89.3532255337388,1
HTTP,147.144.114.110,144.15.88.133,85:2B:98:67:FE:FE,BB:D3:16:E1:CA:9F,6,22.633785536319007,0
ARP,253.253.67.78,71.83.210.218,14:36:D8:7F:B2:06,67:43:01:E3:7D:DB,139,63.07702691067894,1
DNS,121.112.127.174,78.76.201.108,28:E8:16:F7:62:09,09:0B:A2:10:EB:8A,39,39.32347590816702,0
ARP,247.11.16.36,253.38.192.228,01:6A:B3:4E:2A:0B,01:6A:B3:4E:2A:0B,159,64.49045782689335,1
DNS,113.213.209.56,21.86.241.43,67:06:1E:32:42:8B,D6:2B:42:4F:6C:44,10,99.39967300967463,0
ARP,186.32.217.107,74.181.27.65,AA:62:1C:25:7B:DD,AA:62:1C:25:7B:DD,96,93.25605701078474,1
DNS,107.161.187.247,21.77.61.173,32:AC:34:B1:10:FC,5F:89:40:A3:3D:6E,35,3.0619554860220832,0
ARP,7.139.0.228,207.58.68.230,57:49:D0:CF:5F:47,57:49:D0:CF:5F:47,174,6.580667900772474,1
ICMP,150.25.94.15,252.176.187.221,A3:9B:89:C3:79:52,C9:7E:16:14:DA:C1,1,90.81000278343548,0
HTTP,149.40.225.250,107.100.166.195,76:F8:96:8C:46:BF,DC:76:A5:69:EB:37,13,22.67693163750677,0
ARP,39.180.162.184,83.243.94.224,60:98:34:A6:66:83,60:98:34:A6:66:83,71,7.018351807730072,1
ARP,61.113.191.128,118.88.33.27,09:E5:8D:DA:BB:3F,09:E5:8D:DA:BB:3F,106,84.07175409240882,1
DNS,97.165.235.63,106.160.113.130,C0:18:C6:85:06:52,D6:F2:58:DF:38:AC,10,32.47348878384434,0
DNS,185.244.106.85,213.35.135.127,13:1D:B3:58:DD:E3,3F:1A:B0:D5:27:BB,32,80.1174438051546,0
ARP,118.36.110.170,159.69.163.155,3A:3B:E6:B1:08:CD,1E:9D:39:E6:9E:05,59,11.049097013277343,1
ICMP,110.130.215.205,69.104.2.24,AC:12:81:74:77:C9,CC:C9:0F:B9:AF:21,1,5.948412120448077,0
HTTP,89.15.45.42,163.14.120.145,9D:4C:F1:99:39:BB,22:18:F1:F4:91:50,6,95.46867171921976,0
